project,owner,repo,sha,url,sloc,stars,age_years,commit_count,stmt_cov_pct,branch_cov_pct,notes
NREL-EP-Launch,NREL,EP-Launch,e2e3063,https://github.com/NREL/EP-Launch.git,4110,10,7.5,752,99.1,89.1,
NREL-NRWAL,NREL,NRWAL,dc7e65fce35fa24c3152eb208ebb792a6f9a9494,https://github.com/NREL/NRWAL.git,10846,21,5.1,306,25.8,15.1,
Nazime-coloring,Nazime,coloring,59eb825744b7c247537560cff90269e8488592f8,https://github.com/Nazime/coloring.git,3469,24,5.5,10,,,coverage_failed;coverage_failed
NicolasLM-atoma,NicolasLM,atoma,78f04f604deebb5a060ff5493b571cdd8f559495,https://github.com/NicolasLM/atoma.git,2273,117,8.0,83,24.1,13.4,
Niketkumardheeryan-ML-CaPsule,Niketkumardheeryan,ML-CaPsule,b2df3d02ceb03283e88ba41b2a9d318e04b576ca,https://github.com/Niketkumardheeryan/ML-CaPsule.git,4744842,470,5.4,1470,22.0,12.1,
NiklasvonM-EnsembleLearning,NiklasvonM,EnsembleLearning,a07ec86,https://github.com/NiklasvonM/EnsembleLearning.git,421,3,2.8,35,21.8,13.7,
NixOS-nixpkgs-merge-bot,NixOS,nixpkgs-merge-bot,03e2c8801124d86f546a736333920986c7279625,https://github.com/NixOS/nixpkgs-merge-bot.git,6329,77,2.3,361,24.9,12.8,
NoAchache-TextBoxGAN,NoAchache,TextBoxGAN,9223733db9495bbd6b7613029cb35080c80ca704,https://github.com/NoAchache/TextBoxGAN.git,3917,66,5.2,120,21.8,12.8,
OU-CS3560-grading-lib,OU-CS3560,grading-lib,bce8fd6,https://github.com/OU-CS3560/grading-lib.git,1953,1,2.0,100,71.2,46.2,
Octoframes-jupyter_capture_output,Octoframes,jupyter_capture_output,db1f4b73984e5b50f634667b9df32ec93ba0bb7c,https://github.com/Octoframes/jupyter_capture_output.git,490,40,3.7,73,22.4,12.8,
OliverDrechsler-fetchmail_bot,OliverDrechsler,fetchmail_bot,89cca5a,https://github.com/OliverDrechsler/fetchmail_bot.git,808,0,1.9,26,22.8,10.3,
OnroerendErfgoed-skosprovider_atramhasis,OnroerendErfgoed,skosprovider_atramhasis,5edbe65,https://github.com/OnroerendErfgoed/skosprovider_atramhasis.git,1820,4,11.0,149,90.1,85.8,
OnroerendErfgoed-skosprovider_rdf,OnroerendErfgoed,skosprovider_rdf,977e058,https://github.com/OnroerendErfgoed/skosprovider_rdf.git,3739,4,11.7,209,99.2,91.1,
Osmose-firefox-cert-override,Osmose,firefox-cert-override,58898cf5b793cfaddf86ee0e8d28b3165f7ed93a,https://github.com/Osmose/firefox-cert-override.git,265,16,9.3,6,22.6,10.8,
OutSystems-outsystems-pipeline,OutSystems,outsystems-pipeline,0bea1fc1970f8b99fe86c07a6f403e42988e221d,https://github.com/OutSystems/outsystems-pipeline.git,5721,46,6.9,335,22.1,12.4,
PRIDE-Archive-pridepy,PRIDE-Archive,pridepy,68cb4acd5362381e5b3ea4058fca962215430bd7,https://github.com/PRIDE-Archive/pridepy.git,6436,29,6.9,320,23.7,11.5,
